title,abstract
SPONTANEOUS AND  INFORMATION-TRIGGERED SEGMENTS OF SERIES OF HUMAN BRAIN ELECTRIC FIELD MAPS,Abstract Missing
Optimization with Artificial Neural Network Systems: A Mapping Principle and a Comparison to Gradient Based Methods,Abstract Missing
Towards an Organizing Principle for a Layered Perceptual Network,Abstract Missing
REFLEXIVE ASSOCIATIVE MEMORIES,Abstract Missing
Connecting to the Past,Abstract Missing
Microelectronic Implementations of Connectionist Neural Networks,Abstract Missing
Basins of Attraction for Electronic Neural Networks,Abstract Missing
The Performance of Convex Set Projection Based Neural Networks,Abstract Missing
MURPHY: A Robot that Learns by Doing,Abstract Missing
Stability Results for Neural Networks,Abstract Missing
Programmable Synaptic Chip for Electronic Neural Networks,Abstract Missing
Bit-Serial Neural Networks,Abstract Missing
Phasor Neural Networks,Abstract Missing
A Trellis-Structured Neural Network,Abstract Missing
Generalization of Back propagation to Recurrent and Higher Order Neural Networks,Abstract Missing
Constrained Differential Optimization,Abstract Missing
Learning a Color Algorithm from Examples,Abstract Missing
Static and Dynamic Error Propagation Networks with Application to Speech Coding,Abstract Missing
LEARNING BY STATE RECURRENCE DETECTION,Abstract Missing
Scaling Properties of Coarse-Coded Symbol Memories,Abstract Missing
An Adaptive and Heterodyne Filtering Procedure for the Imaging of Moving Objects,Abstract Missing
PATTERN CLASS DEGENERACY IN AN UNRESTRICTED STORAGE DENSITY MEMORY,Abstract Missing
A Mean Field Theory of Layer IV of Visual Cortex and Its Application to Artificial Neural Networks,Abstract Missing
Teaching Artificial Neural Systems to Drive: Manual Training Techniques for Autonomous Systems,Abstract Missing
"Discovering Structure from Motion in Monkey, Man and Machine",Abstract Missing
Time-Sequential Self-Organization of Hierarchical Neural Networks,Abstract Missing
A Computer Simulation of Cerebral Neocortex: Computational Capabilities of Nonlinear Neural Networks,Abstract Missing
Analysis of Distributed Representation of Constituent Structure in Connectionist Systems,Abstract Missing
Spatial Organization of Neural Networks: A Probabilistic Modeling Approach,Abstract Missing
A Dynamical Approach to Temporal Pattern Processing,Abstract Missing
A Novel Net that Learns Sequential Decision Process,Abstract Missing
Self-Organization of Associative Database and Its Applications,Abstract Missing
A Neural-Network Solution to the Concentrator Assignment Problem,Abstract Missing
Using Neural Networks to Improve Cochlear Implant Speech Perception,Abstract Missing
A 'Neural' Network that Learns to Play Backgammon,Abstract Missing
Introduction to a System for Implementing Neural Net Connections on SIMD Architectures,Abstract Missing
Neuromorphic Networks Based on Sparse Optical Orthogonal Codes,Abstract Missing
Synchronization in Neural Nets,Abstract Missing
Invariant Object Recognition Using a Distributed Associative Memory,Abstract Missing
Learning in Networks of Nondeterministic Adaptive Logic Elements,Abstract Missing
Strategies for Teaching Layered Networks Classification Tasks,Abstract Missing
A Method for the Design of Stable Lateral Inhibition Networks that is Robust in the Presence of Circuit Parasitics,Abstract Missing
Constraints on Adaptive Networks for Modeling Human Generalization,Abstract Missing
An Optimality Principle for Unsupervised Learning,Abstract Missing
Associative Learning via Inhibitory Search,Abstract Missing
Fast Learning in Multi-Resolution Hierarchies,Abstract Missing
Efficient Parallel Learning Algorithms for Neural Networks,Abstract Missing
Mapping Classifier Systems Into Neural Networks,Abstract Missing
Self Organizing Neural Networks for the Identification Problem,Abstract Missing
Linear Learning: Landscapes and Algorithms,Abstract Missing
Learning by Choice of Internal Representations,Abstract Missing
What Size Net Gives Valid Generalization?,Abstract Missing
Optimization by Mean Field Annealing,Abstract Missing
Connectionist Learning of Expert Preferences by Comparison Training,Abstract Missing
Skeletonization: A Technique for Trimming the Fat from a Network via Relevance Assessment,Abstract Missing
The Boltzmann Perceptron Network: A Multi-Layered Feed-Forward Network Equivalent to the Boltzmann Machine,Abstract Missing
Adaptive Neural Net Preprocessing for Signal Detection in Non-Gaussian Noise,Abstract Missing
Training Multilayer Perceptrons with the Extended Kalman Algorithm,Abstract Missing
GEMINI: Gradient Estimation Through Matrix Inversion After Noise Injection,Abstract Missing
Fixed Point Analysis for Recurrent Networks,Abstract Missing
Scaling and Generalization in Neural Networks: A Case Study,Abstract Missing
"Does the Neuron ""Learn"" like the Synapse?",Abstract Missing
Comparing Biases for Minimal Network Construction with Back-Propagation,Abstract Missing
An Application of the Principle of Maximum Information Preservation to Linear Systems,Abstract Missing
Learning with Temporal Derivatives in Pulse-Coded Neuronal Systems,Abstract Missing
Applications of Error Back-Propagation to Phonetic Classification,Abstract Missing
Consonant Recognition by Modular Construction of Large Phonemic Time-Delay Neural Networks,Abstract Missing
Use of Multi-Layered Networks for Coding Speech with Phonetic Features,Abstract Missing
Speech Production Using A Neural Network with a Cooperative Learning Mechanism,Abstract Missing
Temporal Representations in a Connectionist Speech System,Abstract Missing
A Connectionist Expert System that Actually Works,Abstract Missing
An Information Theoretic Approach to Rule-Based Connectionist Expert Systems,Abstract Missing
Neural Approach for TV Image Compression Using a Hopfield Type Network,Abstract Missing
Neural Net Receivers in Multiple Access-Communications,Abstract Missing
Performance of Synthetic Neural Network Classification of Noisy Radar Signals,Abstract Missing
Neural Analog Diffusion-Enhancement Layer and Spatio-Temporal Grouping in Early Vision,Abstract Missing
A Network for Image Segmentation Using Color,Abstract Missing
ALVINN: An Autonomous Land Vehicle in a Neural Network,Abstract Missing
Neural Network Star Pattern Recognition for Spacecraft Attitude Determination and Control,Abstract Missing
Neural Network Recognizer for Hand-Written Zip Code Digits,Abstract Missing
Neural Networks that Learn to Discriminate Similar Kanji Characters,Abstract Missing
Backpropagation and Its Application to Handwritten Signature Verification,Abstract Missing
Further Explorations in Visually-Guided Reaching: Making MURPHY Smarter,Abstract Missing
Using Backpropagation with Temporal Windows to Learn the Dynamics of the CMU Direct-Drive Arm II,Abstract Missing
Neuronal Maps for Sensory-Motor Control in the Barn Owl,Abstract Missing
Models of Ocular Dominance Column Formation: Analytical and Computational Results,Abstract Missing
Modeling Small Oscillating Biological Networks in Analog VLSI,Abstract Missing
Storing Covariance by the Associative Long-Term Potentiation and Depression of Synaptic Strengths in the Hippocampus,Abstract Missing
Modeling the Olfactory Bulb - Coupled Nonlinear Oscillators,Abstract Missing
Neural Control of Sensory Acquisition: The Vestibulo-Ocular Reflex,Abstract Missing
Computer Modeling of Associative Learning,Abstract Missing
Simulation and Measurement of the Electric Fields Generated by Weakly Electric Fish,Abstract Missing
A Model for Resolution Enhancement (Hyperacuity) in Sensory Representation,Abstract Missing
Theory of Self-Organization of Cortical Maps,Abstract Missing
A Bifurcation Theory Approach to the Programming of Periodic Attractors in Network Models of Olfactory Cortex,Abstract Missing
Learning the Solution to the Aperture Problem for Pattern Motion with a Hebb Rule,Abstract Missing
A Computationally Robust Anatomical Model for Retinal Directional Selectivity,Abstract Missing
GENESIS: A System for Simulating Neural Networks,Abstract Missing
Training a 3-Node Neural Network is NP-Complete,Abstract Missing
Links Between Markov Models and Multilayer Perceptrons,Abstract Missing
Convergence and Pattern-Stabilization in the Boltzmann Machine,Abstract Missing
A Back-Propagation Algorithm with Optimal Use of Hidden Units,Abstract Missing
Implications of Recursive Distributed Representations,Abstract Missing
A Massively Parallel Self-Tuning Context-Free Parser,Abstract Missing
"Dynamic, Non-Local Role Bindings and Inferencing in a Localist Network for Natural Language Understanding",Abstract Missing
Spreading Activation over Distributed Microfeatures,Abstract Missing
A Model of Neural Oscillator for a Unified Submodule,Abstract Missing
Dynamics of Analog Neural Networks with Time Delay,Abstract Missing
Heterogeneous Neural Networks for Adaptive Behavior in Dynamic Environments,Abstract Missing
Statistical Prediction with Kanerva's Sparse Distributed Memory,Abstract Missing
Range Image Restoration Using Mean Field Annealing,Abstract Missing
Automatic Local Annealing,Abstract Missing
Neural Networks for Model Matching and Perceptual Organization,Abstract Missing
Analyzing the Energy Landscapes of Distributed Winner-Take-All Networks,Abstract Missing
On the K-Winners-Take-All Network,Abstract Missing
Learning Sequential Structure in Simple Recurrent Networks,Abstract Missing
An Adaptive Network That Learns Sequences of Transitions,Abstract Missing
A Passive Shared Element Analog Electrical Cochlea,Abstract Missing
Programmable Analog Pulse-Firing Neural Networks,Abstract Missing
A Low-Power CMOS Circuit Which Emulates Temporal Electrical Properties of Neurons,Abstract Missing
An Analog VLSI Chip for Thin-Plate Surface Interpolation,Abstract Missing
Analog Implementation of Shunting Neural Networks,Abstract Missing
Winner-Take-All Networks of O(N) Complexity,Abstract Missing
A Programmable Analog Neural Computer and Simulator,Abstract Missing
An Electronic Photoreceptor Sensitive to Small Changes in Intensity,Abstract Missing
Digital Realisation of Self-Organising Maps,Abstract Missing
An Analog Self-Organizing Neural Network Chip,Abstract Missing
Performance of a Stochastic Learning Microchip,Abstract Missing
Adaptive Neural Networks Using MOS Charge Storage,Abstract Missing
A Self-Learning Neural Network,Abstract Missing
"Training a Limited-Interconnect, Synthetic Neural IC",Abstract Missing
Electronic Receptors for Tactile/Haptic Sensing,Abstract Missing
Neural Architecture,Abstract Missing
Song Learning in Birds,Abstract Missing
Speech Recognition: Statistical and Neural Information Processing Approaches,Abstract Missing
Cricket Wind Detection,Abstract Missing
Acoustic-Imaging Computations by Echolocating Bats: Unification of Diversely-Represented Stimulus Features into Whole Images,Abstract Missing
The Computation of Sound Source Elevation in the Barn Owl,Abstract Missing
Mechanisms for Neuromodulation of Biological Neural Networks,Abstract Missing
Neural Network Analysis of Distributed Representations of Dynamical Sensory-Motor Transformations in the Leech,Abstract Missing
Reading a Neural Code,Abstract Missing
Neural Implementation of Motivated Behavior: Feeding in an Artificial Insect,Abstract Missing
Neural Network Simulation of Somatosensory Representational Plasticity,Abstract Missing
Computational Efficiency: A Common Organizing Principle for Parallel Computer Maps and Brain Maps?,Abstract Missing
Associative Memory in a Simple Model of Oscillating Cortex,Abstract Missing
Collective Oscillations in the Visual Cortex,Abstract Missing
Computer Simulation of Oscillatory Behavior in Cerebral Cortical Networks,Abstract Missing
Development and Regeneration of Eye-Brain Maps: A Computational Model,Abstract Missing
The Effect of Catecholamines on Performance: From Unit to System Behavior,Abstract Missing
Non-Boltzmann Dynamics in Networks of Spiking Neurons,Abstract Missing
A Computer Modeling Approach to Understanding the Inferior Olive and Its Relationships to the Cerebellar Cortex in Rats,Abstract Missing
Can Simple Cells Learn Curves? A Hebbian Model in a Structured Environment,Abstract Missing
Note on Development of Modularity in Simple Cortical Models,Abstract Missing
Effects of Firing Synchrony on Signal Propagation in Layered Networks,Abstract Missing
A Systematic Study of the Input/Output Properties of a 2 Compartment Model Neuron With Active Membranes,Abstract Missing
Analytic Solutions to the Formation of Feature-Analysing Cells of a Three-Layer Feedforward Visual Information Processing Neural Net,Abstract Missing
Practical Characteristics of Neural Network and Conventional Pattern Classifiers on Artificial and Speech Problems,Abstract Missing
Dimensionality Reduction and Prior Knowledge in E-Set Recognition,Abstract Missing
A Continuous Speech Recognition System Embedding MLP into HMM,Abstract Missing
HMM Speech Recognition with Neural Net Discrimination,Abstract Missing
Connectionist Architectures for Multi-Speaker Phoneme Recognition,Abstract Missing
Training Stochastic Model Recognition Algorithms as Networks can Lead to Maximum Mutual Information Estimation of Parameters,Abstract Missing
Speaker Independent Speech Recognition with Neural Networks and Speech Knowledge,Abstract Missing
The Effects of Circuit Integration on a Feature Map Vector Quantizer,Abstract Missing
Combining Visual and Acoustic Speech Signals with a Neural Network Improves Intelligibility,Abstract Missing
Using a Translation-Invariant Neural Network to Diagnose Heart Arrhythmia,Abstract Missing
A Neural Network for Real-Time Signal Processing,Abstract Missing
Learning Aspect Graph Representations from View Sequences,Abstract Missing
TRAFFIC: Recognizing Objects Using Hierarchical Reference Frame Transformations,Abstract Missing
A self-organizing multiple-view representation of 3D objects,Abstract Missing
Contour-Map Encoding of Shape for Early Vision,Abstract Missing
Neurally Inspired Plasticity in Oculomotor Processes,Abstract Missing
Model Based Image Compression and Adaptive Data Representation by Interacting Filter Banks,Abstract Missing
Neuronal Group Selection Theory: A Grounding in Robotics,Abstract Missing
Using Local Models to Control Movement,Abstract Missing
Learning to Control an Unstable System with Forward Modeling,Abstract Missing
A Self-organizing Associative Memory System for Control Applications,Abstract Missing
Operational Fault Tolerance of CMAC Networks,Abstract Missing
Neural Network Weight Matrix Synthesis Using Optimal Control Techniques,Abstract Missing
Generalized Hopfield Networks and Nonlinear Optimization,Abstract Missing
Incremental Parsing by Modular Recurrent Connectionist Networks,Abstract Missing
A Computational Basis for Phonology,Abstract Missing
Higher Order Recurrent Networks and Grammatical Inference,Abstract Missing
Bayesian Inference of Regular Grammar and Markov Source Models,Abstract Missing
Handwritten Digit Recognition with a Back-Propagation Network,Abstract Missing
Recognizing Hand-Printed Letters and Digits,Abstract Missing
A Large-Scale Neural Network Which Recognizes Handwritten Kanji Characters,Abstract Missing
A Neural Network to Detect Homologies in Proteins,Abstract Missing
Rule Representations in a Connectionist Chunker,Abstract Missing
Discovering the Structure of a Reactive Environment by Exploration,Abstract Missing
Designing Application-Specific Neural Networks Using the Genetic Algorithm,Abstract Missing
Predicting Weather Using a Genetic Memory: A Combination of Kanerva's Sparse Distributed Memory with Holland's Genetic Algorithms,Abstract Missing
Neural Network Visualization,Abstract Missing
Sigma-Pi Learning: On Radial Basis Functions and Cortical Associative Learning,Abstract Missing
Algorithms for Better Representation and Faster Learning in Radial Basis Function Networks,Abstract Missing
"Learning in Higher-Order ""Artificial Dendritic Trees",Abstract Missing
Adjoint Operator Algorithms for Faster Learning in Dynamical Neural Networks,Abstract Missing
Discovering High Order Features with Mean Field Modules,Abstract Missing
The CHIR Algorithm for Feed Forward Networks with Binary Weights,Abstract Missing
The Cascade-Correlation Learning Architecture,Abstract Missing
Meiosis Networks,Abstract Missing
The Cocktail Party Problem: Speech/Data Signal Separation Comparison between Backpropagation and SONN,Abstract Missing
Generalization and Scaling in Reinforcement Learning,Abstract Missing
"The ""Moving Targets"" Training Algorithm",Abstract Missing
Training Connectionist Networks with Queries and Selective Sampling,Abstract Missing
Maximum Likelihood Competitive Learning,Abstract Missing
Unsupervised Learning in Neurodynamics Using the Phase Velocity Field Approach,Abstract Missing
A Method for the Associative Storage of Analog Vectors,Abstract Missing
Optimal Brain Damage,Abstract Missing
Asymptotic Convergence of Backpropagation: Numerical Experiments,Abstract Missing
Comparing the Performance of Connectionist and Statistical Classifiers on an Image Segmentation Problem,Abstract Missing
Performance Comparisons Between Backpropagation Networks and Classification Trees on Three Real-World Applications,Abstract Missing
Generalization and Parameter Estimation in Feedforward Nets: Some Experiments,Abstract Missing
Subgrouping Reduces Complexity and Speeds Up Learning in Recurrent Networks,Abstract Missing
Dynamic Behavior of Constained Back-Propagation Networks,Abstract Missing
Synergy of Clustering Multiple Back Propagation Networks,Abstract Missing
Coupled Markov Random Fields and Mean Field Theory,Abstract Missing
Complexity of Finite Precision Neural Network Classifier,Abstract Missing
The Perceptron Algorithm Is Fast for Non-Malicious Distributions,Abstract Missing
Sequential Decision Problems and Neural Networks,Abstract Missing
Analysis of Linsker's Simulations of Hebbian Rules,Abstract Missing
Analog Neural Networks of Limited Precision I: Computing with Multilinear Threshold Functions,Abstract Missing
Time Dependent Adaptive Neural Networks,Abstract Missing
A Neural Network for Feature Extraction,Abstract Missing
On the Distribution of the Number of Local Minima of a Random Function on a Graph,Abstract Missing
A Cost Function for Internal Representations,Abstract Missing
An Analog VLSI Model of Adaptation in the Vestibulo-Ocular Reflex,Abstract Missing
Real-Time Computer Vision and Robotics Using Analog VLSI Circuits,Abstract Missing
A Reconfigurable Analog VLSI Neural Network Chip,Abstract Missing
Digital-Analog Hybrid Synapse Chips for Electronic Neural Networks,Abstract Missing
Analog Circuits for Constrained Optimization,Abstract Missing
Pulse-Firing Neural Chips for Hundreds of Neurons,Abstract Missing
VLSI Implementation of a High-Capacity Neural Network Associative Memory,Abstract Missing
An Efficient Implementation of the Back-propagation Algorithm on the Connection Machine CM-2,Abstract Missing
Performance of Connectionist Learning Algorithms on 2-D SIMD Processor Arrays,Abstract Missing
Dataflow Architectures: Flexible Platforms for Neural Network Simulation,Abstract Missing
Neural Networks: The Early Days,Abstract Missing
Further Studies of a Model for the Development and Regeneration of Eye-Brain Maps,Abstract Missing
Development and Spatial Structure of Cortical Feature Maps: A Model Study,Abstract Missing
"Interaction Among Ocularity, Retinotopy and On-center/Off-center Pathways During Development",Abstract Missing
Simple Spin Models for the Development of Ocular Dominance Columns and Iso-Orientation Patches,Abstract Missing
A Recurrent Neural Network Model of Velocity Storage in the Vestibulo-Ocular Reflex,Abstract Missing
Self-organization of Hebbian Synapses in Hippocampal Neurons,Abstract Missing
Cholinergic Modulation May Enhance Cortical Associative Memory Function,Abstract Missing
Order Reduction for Dynamical Systems Describing the Behavior of Complex Neurons,Abstract Missing
Stochastic Neurodynamics,Abstract Missing
Dynamics of Learning in Recurrent Feature-Discovery Networks,Abstract Missing
A Lagrangian Approach to Fixed Points,Abstract Missing
Associative Memory in a Network of `Biological' Neurons,Abstract Missing
CAM Storage of Analog Patterns and Continuous Sequences with 3N2 Weights,Abstract Missing
Connection Topology and Dynamics in Lateral Inhibition Networks,Abstract Missing
Shaping the State Space Landscape in Recurrent Networks,Abstract Missing
Adjoint-Functions and Temporal Learning Algorithms in Neural Networks,Abstract Missing
Phase-coupling in Two-Dimensional Networks of Interacting Oscillators,Abstract Missing
Oscillation Onset in Neural Delayed Feedback,Abstract Missing
Analog Computation at a Critical Point: A Novel Function for Neuronal Oscillations?,Abstract Missing
Modeling Time Varying Systems Using Hidden Control Neural Architecture,Abstract Missing
The Tempo 2 Algorithm: Adjusting Time-Delays By Supervised Learning,Abstract Missing
A Theory for Neural Networks with Time Delays,Abstract Missing
ART2/BP architecture for adaptive estimation of dynamic processes,Abstract Missing
Statistical Mechanics of Temporal Association in Neural Networks,Abstract Missing
Learning Time-varying Concepts,Abstract Missing
The Recurrent Cascade-Correlation Architecture,Abstract Missing
Continuous Speech Recognition by Linked Predictive Neural Networks,Abstract Missing
A Recurrent Neural Network for Word Identification from Continuous Phoneme Strings,Abstract Missing
Connectionist Approaches to the Use of Markov Models for Speech Recognition,Abstract Missing
Spoken Letter Recognition,Abstract Missing
Speech Recognition Using Demi-Syllable Neural Prediction Model,Abstract Missing
RecNorm: Simultaneous Normalisation and Classification applied to Speech Recognition,Abstract Missing
Exploratory Feature Extraction in Speech Signals,Abstract Missing
Phonetic Classification and Recognition Using the Multi-Layer Perceptron,Abstract Missing
From Speech Recognition to Spoken Language Understanding: The Development of the MIT SUMMIT and VOYAGER Systems,Abstract Missing
Speech Recognition Using Connectionist Approaches,Abstract Missing
Natural Dolphin Echo Recognition Using an Integrator Gateway Network,Abstract Missing
Signal Processing by Multiplexing and Demultiplexing in Neurons,Abstract Missing
Applications of Neural Networks in Video Signal Processing,Abstract Missing
Discovering Viewpoint-Invariant Relationships That Characterize Objects,Abstract Missing
A Neural Network Approach for Three-Dimensional Object Recognition,Abstract Missing
"A Second-Order Translation, Rotation and Scale Invariant Neural Network",Abstract Missing
Learning to See Rotation and Dilation with a Hebb Rule,Abstract Missing
Stereopsis by a Neural Network Which Learns the Constraints,Abstract Missing
Grouping Contours by Iterated Pairing Network,Abstract Missing
Neural Dynamics of Motion Segmentation and Grouping,Abstract Missing
A Multiscale Adaptive Network Model of Motion Computation in Primates,Abstract Missing
Qualitative structure from motion,Abstract Missing
Optimal Sampling of Natural Images: A Design Principle for the Visual System,Abstract Missing
A VLSI Neural Network for Color Constancy,Abstract Missing
Optimal Filtering in the Salamander Retina,Abstract Missing
A four neuron circuit accounts for change sensitive inhibition in salamander retina,Abstract Missing
Feedback Synapse to Cone and Light Adaptation,Abstract Missing
An Analog VLSI Chip for Finding Edges from Zero-crossings,Abstract Missing
A Delay-Line Based Motion Detection Chip,Abstract Missing
Neural Networks Structured for Control Application to Aircraft Landing,Abstract Missing
Real-time autonomous robot navigation using VLSI neural networks,Abstract Missing
Rapidly Adapting Artificial Neural Networks for Autonomous Navigation,Abstract Missing
Learning Trajectory and Force Control of an Artificial Muscle Arm by Parallel-hierarchical Neural Network Model,Abstract Missing
Proximity Effect Corrections in Electron Beam Lithography Using a Neural Network,Abstract Missing
Planning with an Adaptive World Model,Abstract Missing
A Connectionist Learning Control Architecture for Navigation,Abstract Missing
Navigating through Temporal Difference,Abstract Missing
Integrated Modeling and Control Based on Reinforcement Learning and Dynamic Programming,Abstract Missing
A Reinforcement Learning Variant for Control Scheduling,Abstract Missing
Adaptive Range Coding,Abstract Missing
Neural Network Implementation of Admission Control,Abstract Missing
Reinforcement Learning in Markovian and Non-Markovian Environments,Abstract Missing
A Model of Distributed Sensorimotor Control in the Cockroach Escape Turn,Abstract Missing
Flight Control in the Dragonfly: A Neurobiological Simulation,Abstract Missing
A Novel Approach to Prediction of the 3-Dimensional Structures of Protein Backbones by Neural Networks,Abstract Missing
Training Knowledge-Based Neural Networks to Recognize Genes in DNA Sequences,Abstract Missing
Neural Network Application to Diagnostics and Control of Vehicle Control Systems,Abstract Missing
Lg Depth Estimation and Ripple Fire Characterization Using Artificial Neural Networks,Abstract Missing
A B-P ANN Commodity Trader,Abstract Missing
Integrated Segmentation and Recognition of Hand-Printed Numerals,Abstract Missing
"EMPATH: Face, Emotion, and Gender Recognition Using Holons",Abstract Missing
SEXNET: A Neural Network Identifies Sex From Human Faces,Abstract Missing
A Neural Expert System with Automated Extraction of Fuzzy If-Then Rules and Its Application to Medical Diagnosis,Abstract Missing
Analog Neural Networks as Decoders,Abstract Missing
Distributed Recursive Structure Processing,Abstract Missing
Translating Locative Prepositions,Abstract Missing
A Short-Term Memory Architecture for the Learning of Morphophonemic Rules,Abstract Missing
Exploiting Syllable Structure in a Connectionist Phonology Model,Abstract Missing
Language Induction by Phase Transition in Dynamical Recognizers,Abstract Missing
Discovering Discrete Distributed Representations with Iterative Competitive Learning,Abstract Missing
Direct memory access using two cues: Finding the intersection of sets in a connectionist model,Abstract Missing
An Attractor Neural Network Model of Recall and Recognition,Abstract Missing
ALCOVE: A Connectionist Model of Human Category Learning,Abstract Missing
"Spherical Units as Dynamic Consequential Regions: Implications for Attention, Competition and Categorization",Abstract Missing
Connectionist Implementation of a Theory of Generalization,Abstract Missing
Adaptive Spline Networks,Abstract Missing
Multi-Layer Perceptrons with B-Spline Receptive Field Functions,Abstract Missing
"Bumptrees for Efficient Function, Constraint and Classification Learning",Abstract Missing
Basis-Function Trees as a Generalization of Local Variable Selection Methods for Function Approximation,Abstract Missing
Generalization Properties of Radial Basis Functions,Abstract Missing
Leaning by Combining Memorization and Gradient Descent,Abstract Missing
Sequential Adaptation of Radial Basis Function Neural Networks and its Application to Time-series Prediction,Abstract Missing
Oriented Non-Radial Basis Functions for Image Coding and Analysis,Abstract Missing
Computing with Arrays of Bell-Shaped and Sigmoid Functions,Abstract Missing
Discrete Affine Wavelet Transforms For Anaylsis And Synthesis Of Feedfoward Neural Networks,Abstract Missing
Extensions of a Theory of Networks for Approximation and Learning: Outliers and Negative Examples,Abstract Missing
How Receptive Field Parameters Affect Neural Learning,Abstract Missing
A competitive modular connectionist architecture,Abstract Missing
Evaluation of Adaptive Mixtures of Competing Experts,Abstract Missing
A Framework for the Cooperation of Learning Algorithms,Abstract Missing
Connectionist Music Composition Based on Melodic and Stylistic Constraints,Abstract Missing
Using Genetic Algorithms to Improve Pattern Classification Performance,Abstract Missing
Evolution and Learning in Neural Networks: The Number and Distribution of Learning Trials Affect the Rate of Evolution,Abstract Missing
Designing Linear Threshold Based Neural Network Pattern Classifiers,Abstract Missing
On Stochastic Complexity and Admissible Models for Neural Network Classifiers,Abstract Missing
A Method for the Efficient Design of Boltzmann Machines for Classiffication Problems,Abstract Missing
Note on Learning Rate Schedules for Stochastic Optimization,Abstract Missing
Convergence of a Neural Network Classifier,Abstract Missing
Learning Theory and Experiments with Competitive Networks,Abstract Missing
Transforming Neural-Net Output Levels to Probability Distributions,Abstract Missing
Back Propagation is Sensitive to Initial Conditions,Abstract Missing
Closed-Form Inversion of Backpropagation Networks: Theory and Optimization Issues,Abstract Missing
Generalization by Weight-Elimination with Application to Forecasting,Abstract Missing
The Devil and the Network: What Sparsity Implies to Robustness and Memory,Abstract Missing
Generalization Dynamics in LMS Trained Linear Networks,Abstract Missing
Dynamics of Generalization in Linear Perceptrons,Abstract Missing
Constructing Hidden Units using Examples and Queries,Abstract Missing
Can neural networks do better than the Vapnik-Chervonenkis bounds?,Abstract Missing
Second Order Properties of Error Surfaces: Learning Time and Generalization,Abstract Missing
Chaitin-Kolmogorov Complexity and Generalization in Neural Networks,Abstract Missing
Asymptotic slowing down of the nearest-neighbor classifier,Abstract Missing
Remarks on Interpolation and Recognition Using Neural Nets,Abstract Missing
